;DOAKO UREZTAGAILUA,#ZURE ETXEKO ATEAN!;FREE WATERING CAN,#RIGHT NEXT TO YOUR HOUSE!;ARROSOIR GRATUIT,#IL T'ATTEND PRÈS DE TA MAISON !;EINE GIESSKANNE,#EINFACH SO BEIM HAUS!;¡REGADERA GRATIS, JUSTO AL#LADITO DE TU CASA!;UN ANNAFFIATOIO GRATIS,#PROPRIO VICINO ALLA TUA CASA!;UM REGADOR GRÁTIS,#BEM DO LADO DA SUA CASA!;БЕСПЛАТНАЯ ЛЕЙКА#ПРЯМО ВОЗЛЕ ТВОЕГО ДОМА!;みずのあふれる ジョウロは#いつも あなたの そばに;자유롭게 사용가능한 물뿌리개입니다.#집 바로 옆에 있어요!;免费的喷壶,#就在你房子旁边!;免費的噴壺,#就在你房子旁邊!;
;EZPATA JAURTITZAILEA;SWORD THROWER;LANCEUR D'ÉPÉE;SCHWERT-WERFER;LANZAESPADAS;LANCIA-SPADE;LANÇA-ESPADAS;БРОСАТЕЛЬ МЕЧЕЙ;おたすけグローブ;투검 장갑;掷剑者;擲劍者;
;URRUNEKO ITUETARA IRISTEA ZAILA DA.;FOR THOSE HARD TO REACH TARGETS.;POUR LES CIBLES LES PLUS#DIFFICILES À ATTEINDRE !;FÜR SCHWER ERREICHBARE ZIELE.;PARA OBJETIVOS DIFÍCILES DE ALCANZAR.;PER I BERSAGLI PIÙ ARDUI DA COLPIRE.;PARA ALVOS DIFÍCEIS DE ALCANÇAR.;ДЛЯ ТЕХ, КОМУ СЛОЖНО ДОСТИЧЬ ЦЕЛЕЙ.;とおくの ターゲットへ つるぎを なげる;손이 닿기 어려운 곳에 던지세요.;为了难以企及的目标!;為了難以企及的目標!;
;OINETAKO AZKARRAK;FAST SHOES;CHAUSSURES VÉLOCES;SCHNELLE SCHUHE;CALZADO RÁPIDO;SCARPE RAPIDE;SAPATO VELOZ;БОТИНКИ СКОРОСТИ;こうそくスニーカー;가속 신발;加速鞋;加速鞋;
;ESTILOAREKIN BIZKOR IBILI.;HURRY UP IN STYLE.;POUR COURIR AVEC CLASSE.;EILE MIT STYLE.;CORRE DERROCHANDO ESTILO.;SBRIGATI, MA CON STILE.;CORRA COM ESTILO.;СКОРОСТЬ НА СТИЛЕ.;いそぐときも スタイリッシュに;스타일 있게 달려보세요.;加速;加速;
;LOREZAINTZAKO ESKULARRUA;GARDENING GLOVE;GANT DE JARDINAGE;GARTENHANDSCHUH;GUANTE DE JARDINERÍA;GUANTO DA GIARDINIERE;LUVA DE JARDINAGEM;САДОВАЯ ПЕРЧАТКА;ガーデニング グローブ;원예 장갑;园艺手套;園藝手套;
;ARBOLAK MOZTEAN#EBAKITZEA EKIDITEKO.;HELPS AVOID SPLINTERS#WHEN CUTTING DOWN TREES.;ÉVITE LES ÉCHARDES#LORS DE LA COUPE D'ARBRES.;SCHÜTZT VOR SPLITTERN#BEIM FÄLLEN VON BÄUMEN.;AYUDA A EVITAR ASTILLAS#AL TALAR ÁRBOLES.;PER EVITARE LE SCHEGGE#QUANDO ABBATTI GLI ALBERI.;AJUDA A EVITAR FARPAS#QUANDO VOCÊ CORTA ÁRVORES.;СПАСАЕТ ОТ ЗАНОЗ#ВО ВРЕМЯ РУБКИ ДЕРЕВЬЕВ.;きを きるときの#スプリンターよけ;나무를 자를 때#가시에 안 다치도록 도와줍니다.;在砍树时#避免碎片;在砍樹時#避免碎片;
;TXALUPA-ZURA;BOATWOOD;BOIS À BATEAU;BOOTSHOLZ;MADERA DE BARCA;LEGNA PER BARCHE;MADEIRA#DE BARCO;ЛОДОЧНАЯ ДРЕВЕСИНА;ボートよう もくざい;보트나무;船坞;船塢;
;TXALUPAK EGITEKO ERABILTZEN#DEN ZURA MOTA BEREZIA.;A SPECIAL TYPE OF WOOD#USED TO MAKE BOATS.;UNE VARIÉTÉ PARTICULIÈRE DE BOIS#ADAPTÉE À LA CONSTRUCTION DE BATEAUX.;EINE BESONDERE ART HOLZ#FÜR DEN BOOTSBAU.;UN TIPO ESPECIAL DE MADERA#PARA HACER BARCAS.;UNO SPECIALE TIPO DI LEGNA,#USATO PER COSTRUIRE LE BARCHE.;UM TIPO ESPECIAL DE MADEIRA#PARA FAZER BARCOS.;ОСОБЫЙ ВИД ДРЕВЕСИНЫ#ДЛЯ СТРОИТЕЛЬСТВА ЛОДОК.;むかしは ボートようだった#とくべつな そざいの もくざい;보트를 만들 때 사용되는#특별한 재질의 나무입니다.;用于造船的＃特殊木材;用於造船的＃特殊木材;
;???;???;???;???;¿?;???;???;???;???;???;???;???;
;KAMERA;CAMERA;APPAREIL PHOTO;KAMERA;CÁMARA;FOTOCAMERA;CÂMERA;КАМЕРА;カメラ;카메라;照相机;照相機;
;BILATU ZURE ARGAZKIA HEMEN:#@;FIND YOUR PICTURE AT:#@;RETROUVE TA PHOTO SUR :#@.;FINDE DEIN BILD HIER:#@;TU FOTO ESTÁ EN:#@;TROVERAI LA TUA FOTO SU:#@;VEJA SUA FOTO EM:#@;ИЩИ СВОЕ ФОТО НА:#@;@で しゃしんを みる;@에서#당신의 사진을 찾아보세요.;找到自己的图片:#@;找到自己的圖片:#@;
;SOTOKO GILTZA;BASEMENT KEY;CLEF DE LA CAVE;KELLERSCHLÜSSEL;LLAVE DEL SÓTANO;CHIAVE DELLA CANTINA;CHAVE DO PORÃO;КЛЮЧ ОТ ПОДВАЛА;ちかしつの カギ;지하실 열쇠;地下室钥匙;地下室鑰匙;
;EDOZEIN SOTO IREKITZEN DU!;OPENS ALL KINDS OF BASEMENTS!;OUVRE TOUTES LES CAVES !;ÖFFNET KELLER ALLER ART!;¡ABRE TODO TIPO DE SÓTANOS!;APRE QUALUNQUE TIPO DI SOTTERRANEO!;ABRE QUALQUER PORÃO!;ОТКРЫВАЕТ ВСЕ ВИДЫ ПОДВАЛОВ!;すべての ちかしつを あける;모든 지하실을 열 수 있습니다!;打开各种地下室!;打開各種地下室!;
;MEGA EZPATA;MEGA SWORD;MÉGA ÉPÉE;MEGA-SCHWERT;MEGAESPADA;SUPER SPADA;MEGAESPADA;МЕГАМЕЧ;メガソード;궁극의 검;巨剑;巨劍;
;BOST MILIOI EZPATA,#BAKAR BATEAN KONDENTSATUTA.;FIVE MILLION SWORDS,#CONDENSED INTO ONE.;CINQ MILLIONS D'ÉPÉES,#CONDENSÉES EN UNE SEULE.;FÜNF MILLIONEN SCHWERTER#IN EINES GESCHMOLZEN.;CINCO MILLONES DE ESPADAS#CONDENSADAS EN UNA.;LA FORZA DI 5 MILIONI DI SPADE,#CONCENTRATA IN UNA.;CINCO MILHÕES DE ESPADAS,#FUNDIDAS EM UMA SÓ.;ПЯТЬ МИЛЛИОНОВ МЕЧЕЙ,#СОБРАННЫЕ В ОДИН.;500マンぼんの つるぎが#ぎょうしゅくされた すごいつるぎ;5억 개의 검이#하나로 응축돼있습니다.;五百万支剑,＃变成一把.;五百萬支劍,＃變成一把.;
;SU-ITZALGAILUAK;FIRE EXTINGUISHER;EXTINCTEUR;FEUERLÖSCHER;EXTINTOR;ESTINTORE;EXTINTOR;ОГНЕТУШИТЕЛЬ;しょうかき;소화기;灭火器;滅火器;
;IA SUTEAZ ERRUKITUKO ZINATEKE.;YOU'D ALMOST FEEL SORRY FOR THE FIRE.;ON AURAIT PRESQUE PITIÉ POUR LE FEU.;DAS FEUER TUT EINEM FAST LEID.;CASI TE DA PENA EL FUEGO.;PROVERAI QUASI PENA PER IL FUOCO.;VOCÊ VAI ATÉ SENTIR PENA DO FOGO.;ТЕБЕ БУДЕТ ПОЧТИ ЖАЛКО ОГОНЬ.;けむりさえも のこさず けしてしまう;불에게 미안할 정도로 강력합니다.;你因着火而感到伤心.;你因著火而感到傷心.;
;HAUTSITAKO EZPATA;BROKEN SWORD;ÉPÉE BRISÉE;KAPUTTES SCHWERT;ESPADA ROTA;SPADA SPEZZATA;ESPADA PARTIDA;СЛОМАННЫЙ МЕЧ;こわれた つるぎ;망가진 검;断剑;斷劍;
;UAU, EZ DU EZERTARAKO BALIO...;WOW, THIS IS PRETTY USELESS...;OH, PAS TRÈS TRANCHANTE...;HMM, IRGENDWIE NUTZLOS...;VAYA, TOTALMENTE INÚTIL...;EHM, NON SERVIRÀ A MOLTO...;PARECE BASTANTE INÚTIL...;ВАУ, ОН ДОВОЛЬНО БЕСПОЛЕЗНЫЙ...;もはや つるぎの いみはあるのか…;이런, 완전 쓸모 없겠네요...;哇,这可真没用…;哇,這可真沒用…;
;;;;;;;;;;;;;
;BAKARRIKAN ERE;NONE;RIEN;---;NADA;NIENTE;NADA;НЕТ;なし;없음;无;無;
;EZPATA;SWORD;ÉPÉE;SCHWERT;ESPADA;SPADA;ESPADA;МЕЧ;つるぎ;검;剑;劍;
;UREZTAGAILUA;WATERING CAN;ARROSOIR;GIESSKANNE;REGADERA;ANNAFFIATOIO;REGADOR;ЛЕЙКА;じょうろ;물뿌리개;水壶;水壺;
;KAMERA;CAMERA;APPAREIL PHOTO;KAMERA;CÁMARA;FOTOCAMERA;CÂMERA;КАМЕРА;カメラ;카메라;照相机;照相機;
;HEZURRA;BONE;OS;KNOCHEN;HUESO;OSSO;OSSO;КОСТЬ;ホネ;뼈다귀;骨头;骨頭;
;;;;;;;;;;;;;
;KURTSORE-TEKLAK;ARROW KEYS;LES TOUCHES DIRECTIONNELLES;PFEILTASTEN;TECLAS CURSOR;TASTI DIREZIONE;TECLAS#DE SETA;КЛАВИШИ СТРЕЛОК;やじるしキー;방향키;箭头键;方向鍵;
;ERABILI @ OINEZ IBILTZEKO;USE @ TO WALK;UTILISE @ POUR MARCHER;GEHEN: @;USA @ PARA CAMINAR;USA @ PER CAMMINARE;USE @ PARA ANDAR;ИСПОЛЬЗУЙ @, ЧТОБЫ ИДТИ;@：あるく;@키로 걷기;使用 @ 行走;使用 @ 行走;
;SAKATU @ EZPATA ERABILTZEKO;PRESS @ TO USE SWORD;APPUIE SUR @ POUR UTILISER L'ÉPÉE;SCHWERT BENUTZEN: @;PULSA @ PARA USAR LA ESPADA;PREMI @ PER USARE LA SPADA;@ PARA USAR A ESPADA;НАЖМИ @, ЧТОБЫ ИСПОЛЬЗОВАТЬ МЕЧ;@：つるぎを つかう;@키로 장비 사용;按 @ 用剑;按 @ 用劍;
;SAKATU @ BERRIZ HASTEKO;PRESS @ TO RESTART;APPUIE SUR @ POUR RENAÎTRE;NEUSTARTEN: @;PULSA @ PARA REINICIAR;PREMI @ PER RICOMINCIARE;@ PARA REINICIAR;НАЖМИ @, ЧТОБЫ НАЧАТЬ ЗАНОВО;@：リスタート;@키로 재시작;按 @ 启动;按 @ 啟動;
;ERABILI @ KUTXAK BULTZATZEKO;USE @ TO PUSH BOXES;UTILISE @ #POUR DÉPLACER LES CAISSES;KISTEN SCHIEBEN: @;USA @ PARA EMPUJAR CAJAS;USA @ PER SPINGERE LE CASSE;@ PARA MOVER CAIXAS;ИСПОЛЬЗУЙ @, ЧТОБЫ ТОЛКАТЬ ЯЩИКИ;@：ボックスを おす;@키로 상자 밀기;按 @ 推盒子;按 @ 推盒子;
;EUTSI ETA ASKATU @ EZPATAK JAURTITZEKO;HOLD AND RELEASE @ TO THROW SWORD;MAINTIENS @ ENFONCÉE#PUIS RELÂCHE POUR LANCER L'ÉPÉE;SCHWERT WERFEN: @ HALTEN UND LOSLASSEN;MANTÉN Y SUELTA @ PARA LANZAR ESPADAS;TIENI PREM. @ E LASCIA PER LANC. SPADA;SEGURE E SOLTE @ PARA LANÇAR ESPADA;ЗАЖМИ И ОТПУСТИ @, ЧТОБЫ БРОСИТЬ МЕЧ;@をおして はなす：つるぎを なげる;@키를 누르고 있다가 놓아 검 던지기;按住然后释放 @ 掷剑;按住然後釋放 @ 擲劍;
;EUTSI @ KORRIKA EGITEN HASTEKO;HOLD @ TO START RUNNING;MAINTIENS @ ENFONCÉE#POUR COMMENCER À COURIR;LAUFEN BEGINNEN: @ HALTEN;MANTÉN @ PARA EMPEZAR A CORRER;TIENI PREM. @ PER CORRERE;SEGURE @ PARA CORRER;ЗАЖМИ @, ЧТОБЫ БЕЖАТЬ;@ ながおし：はしる;@키를 누르고 있으면 달리기;按住 @ 跑步;按住 @ 跑步;
;SAKATU @ ZUHAITZAK MOZTEKO;PRESS @ TO CUT TREES;APPUIE SUR @ POUR COUPER UN ARBRE;BÄUME FÄLLEN: @;PULSA @ PARA TALAR ÁRBOLES;PREMI @ PER ABBATTERE GLI ALBERI;@ PARA CORTAR ÁRVORES;НАЖМИ @, ЧТОБЫ РУБИТЬ ДЕРЕВЬЯ;@：きを きる;@키로 나무 자르기;按 @ 砍树;按 @ 砍樹;
;EUTSI @ ETA APUNTATU#ARGAZKI BAT EGITEKO;HOLD @ AND AIM TO TAKE A PICTURE;MAINTIENS @ ENFONCÉE ET CADRE#POUR PRENDRE UNE PHOTO;ZIELEN UND BILD MACHEN: @ HALTEN;MANTÉN @ Y APUNTA PARA HACER UNA FOTO;TIENI PREM. @ E MIRA PER FARE UNA FOTO;SEGURE @ E MIRE PARA TIRAR FOTO;ЗАЖМИ @ И ПРИЦЕЛЬСЯ, ЧТОБЫ СНЯТЬ ФОТО;@ながおし：しゃしんを とる;@키를 누르고 있으면 사진촬영 조준;按住 @ 照相;按住 @ 照相;
;;;;;;;;;;;;;
;ETXE BERRIA HAUTATUA;NEW HOME SELECTED;TU EMMÉNAGES DANS CETTE MAISON;NEUES ZUHAUSE GEWÄHLT;NUEVA CASA SELECCIONADA;NUOVA CASA SELEZIONATA;NOVO LAR ESCOLHIDO;ВЫБРАН НОВЫЙ ДОМ;セーブポイント;새로운 집 선택됨;选择新家;選擇新家;
;;;;;;;;;;;;;
;IRAGANERA ITZULI DA!;SENT BACK IN TIME!;SENT BACK IN TIME!;SENT BACK IN TIME!;SENT BACK IN TIME!;SENT BACK IN TIME!;SENT BACK IN TIME!;SENT BACK IN TIME!;SENT BACK IN TIME!;SENT BACK IN TIME!;及时送回!;及時送回!;
;@ EROSITA!;BOUGHT THE @!;OBJET ACHETÉ : @ !;GEKAUFT: @!;OBJETO COMPRADO: ¡@!;OGGETTO ACQUISTATO: @!;ITEM COMPRADO: @!;ПРЕДМЕТ КУПЛЕН: @!;@をこうにゅうした;@을(를) 구입였습니다!;购买物品: @!;購買物品: @!;
;@ LORTU DUZU!;GOT THE @!;NOUVEL OBJET : @ !;ERHALTEN: @!;OBJETO RECIBIDO: ¡@!;OGGETTO RICEVUTO: @!;ITEM RECEBIDO: @!;ПРЕДМЕТ ПОЛУЧЕН: @!;@をてにいれた;@을(를) 획득하였습니다!;接收物品: @!;接收物品: @!;
;BIHOTZA AURKITUTA!;FOUND A HEART!;TU AS GAGNÉ UN NOUVEAU COEUR !;EIN HERZ GEFUNDEN!;¡CORAZÓN ENCONTRADO!;HAI TROVATO UN CUORE!;UM CORAÇÃO!;У МЕНЯ ТЕПЕРЬ ЕСТЬ СЕРДЦЕ!;ハートを みつけた;하트를 발견했습니다!;发现一颗心!;發現一顆心!;
;TXANPONA AURKITUTA!;FOUND A COIN!;TU AS TROUVÉ UNE PIÈCE !;EINE MÜNZE GEFUNDEN!;¡MONEDA ENCONTRADA!;HAI TROVATO UNA MONETA!;UMA MOEDA!;У МЕНЯ ТЕПЕРЬ ЕСТЬ МОНЕТА!;コインを みつけた;코인을 발견했습니다!;发现一枚硬币!;發現一枚硬幣!;
;EZPATA AURKITUTA!;FOUND A SWORD SHARD!;TU AS TROUVÉ UN FRAGMENT D'ÉPÉE !;TEIL EINES SCHWERTES GEFUNDEN!;¡FRAGMENTO DE ESPADA ENCONTRADO!;HAI TROVATO UN FRAMMENTO DI SPADA!;UM PEDAÇO DE ESPADA!;У МЕНЯ ТЕПЕРЬ ЕСТЬ ОБЛОМОК МЕЧА!;つるぎの かけらを みつけた;검의 파편을 발견했습니다!;发现一个剑碎片!;發現一個劍碎片!;
;DEMOA AURKITUTA!;FOUND THE DEMO!;TU AS TROUVÉ LA DÉMO !;DEMO GEFUNDEN!;¡DEMO ENCONTRADA!;HAI TROVATO LA DEMO!;A VERSÃO DEMO!;У МЕНЯ ТЕПЕРЬ ЕСТЬ ДЕМО-ВЕРСИЯ!;デモばんを みつけた!;데모를 발견했습니다!;发现DEMO!;發現DEMO!;
;SAKATU @ JARRAITZEKO;PRESS @ TO CONTINUE;APPUIE SUR @ POUR CONTINUER;ZUM FORTSETZEN @ DRÜCKEN;PULSA @ PARA CONTINUAR;PREMI @ PER CONTINUARE;@ PARA CONTINUAR;НАЖМИ @, ЧТОБЫ ПРОДОЛЖИТЬ;@：コンティニュー;@키를 눌러 이어하기;按 @ 继续;按 @ 繼續;
;GARROA AURKITUTA!;FOUND A TENTACLE!;TU AS TROUVÉ UN TENTACULE !;EIN TENTAKEL GEFUNDEN!;¡TENTÁCULO ENCONTRADO!;HAI TROVATO UN TENTACOLO!;UM TENTÁCULO!;У МЕНЯ ТЕПЕРЬ ЕСТЬ ЩУПАЛЬЦЕ!;タコの あしを みつけた;문어 다리를 발견했습니다!;发现触手!;發現觸手!;
;DENBORA AMAITU DA!;TIME'S UP!;TEMPS ÉCOULÉ !;KEINE ZEIT MEHR!;¡TIEMPO!;È FINITO IL TEMPO!;TEMPO ESGOTADO!;ВРЕМЯ ВЫШЛО!;タイムオーバー;타임 오버!;计时结束!;計時結束!;
;HIL EGIN ZARA!;YOU DIED!;TU AS FAIT TON TEMPS !;DU BIST TOT!;¡HAS MUERTO!;HAI PERSO!;VOCÊ MORREU!;ТЕБЕ КОНЕЦ!;ゲームオーバー;사망했습니다!;你已死亡!;你已死亡!;
;SAKATU @ JARRAITZEKO;PRESS @ TO CONTINUE;APPUIE SUR @ POUR CONTINUER;ZUM FORTSETZEN @ DRÜCKEN;PULSA @ PARA CONTINUAR;PREMI @ PER CONTINUARE;@ PARA CONTINUAR;НАЖМИ @, ЧТОБЫ ПРОДОЛЖИТЬ;@をおして コンティニュー;@키를 눌러 이어하기;按 @ 继续;按 @ 繼續;
;;;;;;;;;;;;;
;OBJEKTUAK;ITEMS;OBJETS ;GEGENSTÄNDE;OBJETOS;OGGETTI;ITENS;ПРЕДМЕТЫ;アイテム;아이템;物品;物品;
;TXANPONAK;COINS;PIÈCES ;MÜNZEN;MONEDAS;MONETE;MOEDAS;МОНЕТЫ;コイン;코인;硬币;硬幣;
;BIHOTZAK;HEARTS;COEURS ;HERZEN;CORAZONES;CUORI;CORAÇÕES;СЕРДЦА;ハート;하트;心;心;
;SAIAKERAK;RUNS;VIES;RUNDEN;INTENTOS;GIRI;JOGADAS;ЗАБЕГИ;プレイかいすう;도전;跑;跑;
;EREMUAK;AREAS;ZONES ;BEREICHE;ZONAS;ZONE;ÁREAS;ОБЛАСТИ;エリア;구역;区域;區域;
;???;???;???;???;¿?;???;???;???;???;???;???;???;
;DENBORA;TIME;TEMPS;ZEIT;TIEMPO;TEMPO;TEMPO;ВРЕМЯ;タイム;시간;时间;時間;
;PRENTSA PASEA;PRESS PASS;CARTE DE PRESSE;PRESSEAUSWEIS;PASE DE PRENSA;PERMESSO STAMPA;CREDENCIAL;ПРЕСС-КАРТА;かんけいしゃパス;언론 기자증;新闻卡;新聞卡;
;GARRANTZITSUA ZEN#NORBAITENA IZANGO ZEN!!;MUST HAVE BELONGED#TO SOMEONE IMPORTANT!;A DÛ APPARTENIR#À UNE VEDETTE DU JOURNALISME !;HAT WOHL JEMAND#WICHTIGEM GEHÖRT!;¡DEBE DE HABER SIDO DE#ALGUIEN IMPORTANTE!;DOVEVA APPARTENERE A#QUALCUNO DI IMPORTANTE!;DEVE TER PERTENCIDO#A ALGUÉM IMPORTANTE!;НАВЕРНЯКА ПРИНАДЛЕЖАЛА#КОМУ-ТО ВАЖНОМУ!;これで あなたも#VIPの なかまいり!;중요한 누군가의#것이 틀림없습니다!;一定属于#某个重要人物!;一定屬於#某個重要人物!;
;TURBO TINTA;TURBO INK;ENCRE TURBO;TURBO-TINTE;TINTA TURBO;TURBO-INCHIOSTRO;TINTA TURBO;ТУРБОЧЕРНИЛА;ターボインク;터보 먹물;涡轮墨水;渦輪墨水;
;SUKALDEAN ARITZEKO LIKIDO BIKAINA#BAITA EZPATA-BORROKAK AZKARTZEKO ERE.;A PRICELESS LIQUID USED IN COOKING#AND TO SPEED UP SWORDFIGHTING.;UN LIQUIDE PRÉCIEUX,#APPRÉCIÉ DES CUISINIERS.#ACCÉLÈRE LE MANIEMENT DE L'ÉPÉE.;EINE UNBEZAHLBARE FLÜSSIGKEIT FÜRS#KOCHEN UND DAS BESCHLEUNIGEN#VON SCHWERTKÄMPFEN.;UN VALIOSO LÍQUIDO PARA COCINAR Y#AGILIZAR EL COMBATE CON ESPADA.;UN LIQUIDO INESTIMABILE, PER CUCINARE#E PER ACCELERARE I DUELLI ALLA SPADA.;UM LÍQUIDO INESTIMÁVEL USADO PARA#COZINHAR E ACELERAR O COMBATE.;БЕСЦЕННАЯ ЖИДКОСТЬ ДЛЯ ГОТОВКИ#И ДЛЯ УСКОРЕНИЯ БОЯ НА МЕЧАХ.;りょうりや たたかいの スピードアップに#つかえる まほうの えきたいは プライスレス;검을 휘두르는 속도를 높이거나#요리에 사용되는 귀중한 액체;用于烹饪的无价液体#并提高挥剑速度.;用於烹飪的無價液體#並提高揮劍速度.;
;BIRRINGAILUA;GRINDER;BROYEUR;SCHREDDER;TRITURADORA;TRITATUTTO;TRITURADOR;КОСИЛКА;グラインダーの ぶひん;분쇄기;研磨机;研磨機;
;EZ DAGO GELDITUKO ZAITUEN KUTXARIK!;NO BOX CAN STOP YOU NOW!;AUCUNE CAISSE NE TE RÉSISTERA !;KEINE KISTE KANN DICH#JETZT NOCH STOPPEN!;¡YA NO HAY CAJA CAPAZ DE DETENERTE!;LE CASSE NON SARANNO PIÙ UN OSTACOLO!;NENHUMA CAIXA IRÁ DETER VOCÊ!;ТЕПЕРЬ ТЕБЯ НЕ ОСТАНОВИТ НИ ОДИН ЯЩИК!;ゆくてを はばむボックスは なにもない;이제 박스도 당신을 막을 수 없습니다.;沒有任何箱子打不开了！;沒有任何箱子打不開了！;
;GARAIKURRA;TROPHY;TROPHÉE;TROPHÄE;TROFEO;TROFEO;TROFÉU;ТРОФЕЙ;トロフィー;트로피;奖杯;獎盃;
;%110 EMAN DUZU!;YOU REALLY GAVE IT 110%!;TU T'ES VRAIMENT DONNÉ À 110 % !;WENN MAN WIRKLICH 110% GEGEBEN HAT!;¡HAS DADO EL 110 %!;CI HAI DATO DENTRO AL 110%!;NADA COMO CONSEGUIR 110%!;ТЕПЕРЬ У ТЕБЯ 110%!;110% ちからを だしきった!;아이템을 110% 획득했네요!;你获得了110%!;你獲得了110%!;
;TESTERRAK;TESTING;TEST;TESTS;TESTEO;TEST;TESTES;ТЕСТИРОВАНИЕ;TESTING;테스팅;测试;測試;
;EGILEAK;A GAME BY;UN JEU CRÉÉ PAR;EIN SPIEL VON;UN JUEGO DE;UN GIOCO DI;UM JOGO DE;АВТОРЫ ИГРЫ;A GAME BY;게임 제작;游戏开发者;遊戲開發者;
;KAMERA PROGRAMAZIOA;CAMERA PROGRAMMING;PROGRAMMATION APPAREIL PHOTO;KAMERA-PROGRAMMIERUNG;PROGRAMACIÓN DE CÁMARA;PROGRAMMAZIONE FOTOCAMERA;PROGRAMAÇÃO DE CÂMERA;ПРОГРАММИРОВАНИЕ КАМЕРЫ;CAMERA PROGRAMMING;카메라 프로그래밍;照相机编辑;照相機編輯;
;BIKOIZKETAKO AKTOREAK;VOICE ACTING;DOUBLAGE;MIT DEN STIMMEN VON;ACTORES DE DOBLAJE;DOPPIAGGIO;DUBLAGEM;ОЗВУЧИВАНИЕ;VOICE ACTING;목소리 연기;配音;配音;
;ESKER BEREZIAK;SPECIAL THANKS;REMERCIEMENTS PARTICULIERS;BESONDEREN DANK AN;AGRADECIMIENTOS ESPECIALES;RINGRAZIAMENTI SPECIALI;AGRADECIMENTOS#ESPECIAIS;ОСОБАЯ БЛАГОДАРНОСТЬ;SPECIAL THANKS;스페셜 땡스;特别感谢;特別感謝;
;ESKERRIK ASKO JOSTATZEAGATIK!;THANKS FOR PLAYING!;MERCI D'AVOIR JOUÉ !;DANKE FÜRS SPIELEN!;¡GRACIAS POR JUGAR!;GRAZIE PER AVER GIOCATO!;OBRIGADO POR JOGAR!;СПАСИБО, ЧТО ВЫБРАЛИ НАШУ ИГРУ!;THANKS FOR PLAYING!;플레이해주셔서 감사합니다!;感谢使用！;感謝使用！;
;ARTE PROMOZIONALA;PROMOTIONAL ART;GRAPHISMES PROMOTIONNELS;PROMO-GRAFIK;ARTE PROMOCIONAL;GRAFICA PROMOZIONALE;ARTE PROMOCIONAL;ПРОМО-АРТ;PROMOTIONAL ART;홍보 아트;推广艺术;推廣藝術;
;AURKITUTAKO OBJEKTUA: @!;ITEM FOUND: @!;OBJET TROUVÉ : @ !;GEFUNDEN: @!;OBJETO ENCONTRADO: @;OGGETTO TROVATO: @!;ITEM ACHADO: @!;ПРЕДМЕТ НАЙДЕН: @!;みつけたアイテム：@;@ 발견!;发现物品: @!;發現物品: @!;
;@ BIHOTZ AURKITUTA!;FOUND @ HEARTS!;@ COEURS OBTENUS !;@ HERZEN GEFUNDEN!;¡@ CORAZONES ENCONTRADOS!;HAI TROVATO @ CUORI!;ACHOU @ CORAÇÕES!;СЕРДЕЦ НАЙДЕНО: @!;ハートを@ みつけた;하트를 @개 발견함!;发现 @ 心!;發現 @ 心!;
;@ TXANPON AURKITUTAKO;FOUND @ COINS;@ PIÈCES TROUVÉES !;@ MÜNZEN GEFUNDEN!;@ MONEDAS ENCONTRADAS;HAI TROVATO @ MONETE!;ACHOU @ MOEDAS;МОНЕТ НАЙДЕНО: @;コインを@ みつけた;코인을 @개 발견함!;发现 @硬币;發現 @硬幣;
;KOKAPENA;LOCALISATION;LOCALISATION;LOKALISIERUNG;LOCALIZACIÓN;LOCALIZZAZIONE;LOCALIZAÇÃO;ЛОКАЛИЗАЦИЯ;LOCALISATION;현지화;本地化;當地語系化;
;@ ESKURATUTA;@ COLLECTED;DÉCOUVERTS : @;@ AUFGESAMMELT;@ RECOGIDO;@ RACCOLTI;COLETOU @;@ СОБРАНО;あつめたアイテム：@;@ 수집함; @ 收集; @ 收集;
;@ SAIAKERA;@ RUNS;@ VIES;@ RUNDEN;@ INTENTOS;@ GIRI;@ JOGADAS;@ ЗАБЕГОВ;プレイかいすう：@;@회 도전함; @ 跑; @ 跑;
;ESPLORATZEN;EXPLORING;EN EXPLORATION;ERFORSCHEN;EXPLORANDO;ESPLORAZIONE;EXPLORANDO;ИССЛЕДОВАНИЕ;たんけん;탐험 중;探索;探索;
;JARRAITU PARTIDA BAT;CONTINUE AN EXISTING GAME;REPRENDRE LA PARTIE EN COURS;BESTEHENDES SPIEL FORTSETZEN;CONTINUAR UNA PARTIDA;CONTINUA PARTITA ESISTENTE;CONTINUE UM JOGO EXISTENTE;ПРОДОЛЖИТЬ ТЕКУЩУЮ ИГРУ;ゲームをつづける;존재하는 게임을 이어합니다;继续当前游戏;繼續當前遊戲;
;HASI PARTIDA BERRI BAT;BEGIN A NEW GAME;COMMENCER UNE NOUVELLE PARTIE;NEUES SPIEL BEGINNEN;COMENZAR UNA PARTIDA;INIZIA NUOVA PARTITA;COMECE UM NOVO JOGO;НАЧАТЬ НОВУЮ ИГРУ;あたらしいゲームをはじめる;새로운 게임을 시작합니다;开始新游戏;開始新遊戲;
